Title,Year,Peak_AUS,Peak_AUT,Peak_FRA,Peak_GER,Peak_IRE,Peak_NZ,Peak_SWI,Peak_UK,Peak_US,Peak_USDance,Sales,Certifications,Album,Unnamed,Decade,Peak_BEL,Peak_SCO
"""In Your Eyes""",2002,1,22,24,18,6,18,8,3,—,,,,Fever,,00,,
"""Love at First Sight""",2002,3,29,33,16,7,9,22,2,23,,,,Fever,,00,,
"""Come into My World""",2002,4,59,78,47,11,20,66,8,91,,,,Fever,,00,,
"""Slow""",2003,1,20,45,8,5,9,18,1,91,,,,Body Language,,00,,
"""Red Blooded Woman""",2004,4,23,33,16,9,19,15,5,—,,,,Body Language,,00,,
"""Chocolate""",2004,14,58,69,43,26,—,53,6,—,,,,Body Language,,00,,
"""I Believe in You""",2004,6,4,35,12,9,29,6,2,—,,,,Ultimate Kylie,,00,,
"""Giving You Up""",2005,8,45,—,27,20,—,40,6,—,,,,Ultimate Kylie,,00,,
"""2 Hearts""",2007,1,14,15,13,12,34,10,4,—,,,,X,,00,,
"""Wow""",2008,11,73,15,41,10,—,51,5,—,,,,X,,00,,
"""In My Arms""",2008,35,16,10,8,15,—,10,10,—,,,,X,,00,,
"""All I See""",2008,—,—,—,—,—,—,—,—,—,,,,X,,00,,
"""The One""",2008,—,—,—,—,—,—[c],—,36,—,,,,X,,00,,
"""Lhuna"" (with Coldplay)",2008,—,—,—,—,—,—,—,—,—,,,,Non-album single,,00,,
"""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.",,,,"""—"" denotes a title that did not chart, or was not released in that territory.",,00,,
"""All the Lovers""",2010,13,5,3,10,6,—,6,3,,1,,,Aphrodite,,10,,
"""Get Outta My Way""",2010,69,61,29,41,33,—,61,12,,1,,,Aphrodite,,10,,
"""Better than Today""",2010,55,—,63,—,—,—,—,32,,1,,,Aphrodite,,10,,
"""Put Your Hands Up (If You Feel Love)""",2011,50,38,—,—,—,—,—,93,,1,,,Aphrodite,,10,,
